Name,BSE Code,NSE Code,Industry,Current Price,Promoter holding,Sales,Current ratio,Debt to equity,Price to book value,Return on capital employed,Return on equity,Price to Earning,Dividend yield,Market Capitalization,Cash end of last year,High price all time,Dividend Payout
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,62.95,44.83,536.79,2.09,0.47,1.04,15.27,11.54,7.92,0.00,222.13,9.94,86.20,0.00
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,52.10,60.82,87.68,10.87,0.00,2.33,20.06,23.90,3.56,0.00,54.71,1.29,145.05,0.00
3M India,523395,3MINDIA,Diversified - Large,25929.50,75.00,2789.38,3.06,0.01,13.15,9.32,6.90,134.55,0.00,29222.55,937.15,31000.00,0.00
3P Land Hold.,516092,3PLAND,Finance & Investments,13.85,73.30,1.43,30.00,0.00,0.53,0.24,-0.37,,0.00,24.93,0.17,77.55,0.00
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,2.37,9.43,0.00,22.32,0.19,0.47,-28.85,-41.75,,0.00,8.27,0.00,315.00,0.00
5Paisa Capital,540776,5PAISA,Finance & Investments,517.35,29.97,211.54,1.45,1.50,9.75,10.82,9.98,79.71,0.00,1521.57,524.28,580.00,0.00
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,105.75,45.63,162.26,5.98,0.00,0.16,-0.36,-2.05,,1.89,487.28,1224.32,3048.00,-14.53
7NR Retail Ltd,540615,,Trading,14.21,29.86,2.65,54.76,0.01,1.48,-5.00,-5.04,,0.00,14.88,0.85,239.50,0.00
7Seas Enter.,540874,,Computers - Software - Medium / Small,24.75,50.04,0.01,0.03,,,,,14.55,0.00,27.50,0.00,24.95,0.00
A & M Febcon,540697,,Engineering,1.72,15.25,10.78,18.06,0.61,0.17,2.58,0.00,,0.00,2.20,0.87,22.00,
A and M Jumbo,,AMJUMBO,Packaging,8.15,39.26,2.69,1.68,0.57,0.82,3.30,0.29,285.33,0.00,8.56,0.18,24.00,0.00
A B B,500002,ABB,Electric Equipment,1827.65,75.00,6367.04,1.62,0.01,10.39,7.22,4.91,131.40,0.27,38729.43,2206.57,1943.90,48.33
A B Infrabuild,,ABINFRA,Construction,7.35,59.19,61.78,1.75,0.92,0.35,8.29,4.68,7.11,0.00,9.31,2.11,26.70,0.00
A B M Internatl.,,ABMINTLLTD,Trading,130.75,74.70,154.41,3.32,0.00,5.36,66.35,56.44,12.84,0.00,123.01,10.51,213.60,0.00
A F Enterprises,538351,,Trading,38.75,7.99,37.70,1.05,0.32,3.64,,,,0.00,39.19,1.83,648.00,0.00
A Infrastructure,539620,,Cement Products,30.75,73.95,279.86,2.05,1.19,2.13,12.23,10.68,18.63,0.33,131.14,8.04,54.25,6.92
A K Spintex,539300,,Textiles - Processing,27.00,65.32,53.88,1.36,0.44,0.64,4.64,2.17,15.44,0.00,13.59,0.02,84.35,0.00
A R C Finance,540135,,Finance & Investments,7.72,12.02,4.81,1.29,0.00,0.76,0.51,0.35,57.32,0.00,38.98,0.85,23.50,0.00
A-1 Acid,542012,,Chemicals,196.00,70.00,145.18,12.18,0.41,5.61,9.46,6.85,84.74,0.00,225.40,0.47,205.00,0.00
A.K.Capital Serv,530499,,Finance & Investments,467.25,70.51,304.19,11.14,2.03,0.45,10.15,11.46,3.82,1.28,308.39,17.48,944.00,5.32
A2Z Infra Engg.,533292,A2ZINFRA,Engineering,4.95,28.14,415.33,1.39,1.58,0.26,-1.96,-21.91,,0.00,87.18,15.08,500.00,0.00
AA Plus Trade,543319,,Trading,8.14,32.78,8.73,1.87,0.19,1.10,2.98,2.17,51.15,0.00,6.65,0.02,15.85,0.00
AAA Technologies,,AAATECH,Computers - Software - Medium / Small,51.00,71.51,11.02,7.64,0.00,1.95,9.70,7.00,38.25,0.98,43.61,5.66,72.45,37.72
Aadi Industries,530027,,Plastics Products,3.75,24.86,0.00,0.08,,,,,,0.00,3.75,0.16,75.80,0.00
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,206.95,73.33,62.75,3.37,0.44,5.05,12.13,10.32,42.42,0.00,209.54,1.23,301.00,0.00
Aananda Lakshmi,539096,,Textiles - Spinning - Synthetic / Blended,5.69,58.67,1.86,0.72,,,-11.40,,,0.00,1.99,0.16,19.50,0.00
Aanchal Ispat,538812,,Steel - Medium / Small,10.99,65.14,141.98,10.13,1.40,0.45,0.31,-10.13,,0.00,22.92,0.34,22.90,0.00
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,36.60,49.38,420.71,1.91,0.19,0.89,9.65,6.98,11.46,0.00,85.59,0.65,143.95,0.00
Aarnav Fashions,539562,,Trading,77.20,27.21,34.94,1.93,0.00,5.00,19.57,14.05,35.98,0.65,115.84,0.03,96.25,24.27
Aaron Industries,,AARON,Engineering,112.95,74.97,27.46,4.35,0.58,9.32,16.57,16.98,50.20,0.00,113.45,0.11,136.00,0.00
Aartech Solonics,542580,,Electric Equipment,49.35,52.38,10.96,,,,,,134.02,1.01,34.85,,57.90,15.38
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,624.70,60.14,2190.06,2.67,0.38,6.33,34.27,35.81,23.75,0.40,5784.72,9.78,1026.95,8.31
Aarti Industries,524208,AARTIIND,Chemicals,1109.25,44.90,4885.53,2.87,0.81,11.48,13.14,16.14,66.30,0.20,40210.76,412.32,1131.80,9.99
Aarti Surfactant,543210,AARTISURF,Chemicals,1459.60,47.28,493.88,1.91,0.87,7.28,13.23,15.36,51.28,0.21,1107.03,6.73,1887.00,10.49
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,26.10,65.80,358.36,1.19,2.51,0.37,-5.19,-32.21,,0.00,61.23,19.90,166.00,0.00
Aarvi Encon,,AARVI,Miscellaneous,63.95,73.47,211.85,2.75,0.04,1.08,12.67,12.96,9.63,2.35,94.54,23.61,119.95,21.22
Aashka Hospitals,543346,,Healthcare,49.30,49.63,40.69,2.08,0.95,2.70,13.12,15.38,28.07,0.00,115.36,2.93,121.10,0.00
AAVAS Financiers,541988,AAVAS,Finance - Housing,2808.75,39.22,1141.62,9.01,2.66,9.23,9.98,12.87,74.05,0.00,22164.46,1120.96,3074.35,0.00
Aayush Food&Herb,539528,,Trading,28.45,51.28,123.03,1.30,0.32,1.36,14.35,6.37,,0.00,9.23,0.27,85.90,0.00
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,70.10,46.00,965.76,0.19,,,,,,0.00,409.14,74.07,5555.00,0.00
ABans Enterprise,512165,,Trading,104.70,74.56,3903.82,3.28,0.59,1.23,25.00,39.00,5.21,0.10,146.05,18.15,303.00,0.43
ABB Power Produc,543187,POWERINDIA,Electric Equipment,2459.80,75.00,3776.14,1.12,0.03,10.62,19.45,13.54,3750.01,0.08,10425.04,318.95,2575.00,8.50
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,21705.85,74.99,4463.59,3.53,0.06,17.73,35.23,27.45,65.32,0.55,46124.93,2409.04,23934.45,84.61
ABC Gas (Int.),513119,,Trading,12.58,33.09,1.34,2.37,1.08,1.77,-13.16,-24.77,,0.00,2.49,0.09,41.00,0.00
ABC India,520123,,Miscellaneous,80.90,60.05,174.04,1.35,0.48,1.27,11.08,7.18,16.35,0.62,43.83,1.86,177.00,10.93
Abhinav Capital,532057,,Finance & Investments,53.90,71.48,5.97,2.06,0.00,1.17,5.20,2.63,11.52,0.00,37.32,0.18,162.15,0.00
Abhinav Leasing,538952,,Finance & Investments,1.44,3.66,14.36,0.26,0.00,1.28,7.69,1.61,48.00,0.00,7.20,0.73,23.70,0.00
Abhishek Infra.,539544,,Construction,3.25,29.65,55.72,1.51,0.00,0.38,,,,0.00,1.06,0.00,64.50,0.00
Abhishek Integr.,,AILIMITED,Miscellaneous,27.25,,2.35,,,,,,68.33,0.00,8.20,,38.60,0.00
Abirami Fin.,511756,,Finance & Investments,4.15,59.08,0.00,72.71,0.00,0.31,-1.50,-1.50,,0.00,2.49,4.95,23.30,0.00
ABM Knowledge,531161,,Computers - Software - Medium / Small,117.80,66.93,80.08,3.80,0.00,1.26,14.85,11.05,13.25,1.06,235.63,52.20,180.00,13.07
ACC,500410,ACC,Cement - North India,2245.65,54.53,15858.94,1.90,0.01,3.10,15.97,12.79,20.13,0.62,42170.45,6005.70,2509.00,18.40
Accel,517494,,Computers - Software - Medium / Small,12.27,72.41,91.57,1.10,0.85,0.86,-1.85,-0.20,26.80,0.00,69.95,10.45,58.00,0.00
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1343.80,74.66,290.36,2.69,0.16,8.41,21.77,17.46,47.54,2.60,2006.29,50.74,1890.00,60.14
Accord Synergy,,ACCORD,Engineering - Turnkey Services,22.00,71.99,39.06,4.96,0.15,0.38,8.52,4.92,7.96,0.00,7.64,2.52,93.10,0.00
Accuracy Shippi.,,ACCURACY,Miscellaneous,161.55,63.40,365.16,5.95,1.09,2.97,11.41,11.11,28.22,0.00,243.23,4.85,165.80,0.00
ACE EduTremd Ltd,530093,,Miscellaneous,1.00,5.01,0.16,1.36,0.00,0.10,-3.08,-3.29,,0.00,0.92,0.01,57.90,0.00
Ace Integrated,,ACEINTEG,Miscellaneous,17.95,73.53,6.63,3.96,0.02,1.08,1.25,0.83,130.79,0.00,18.31,0.89,32.97,0.00
Ace Men,539661,,Trading,14.60,11.02,0.29,0.07,0.00,1.40,10.63,7.73,41.09,0.00,4.52,0.02,59.30,0.00
Ace Soft. Exp.,531525,,Computers - Software - Medium / Small,17.00,67.84,9.13,4.72,0.10,0.40,-4.13,-3.39,9.83,0.00,7.96,0.87,40.20,0.00
Acewin Agriteck,539570,,Miscellaneous,5.19,59.03,13.75,4.66,0.06,0.19,2.81,1.57,12.11,0.00,5.33,0.11,20.18,0.00
ACI Infocom,517356,,Computers - Software - Medium / Small,1.54,22.88,0.68,9.24,0.00,1.02,1.51,1.09,94.56,0.00,17.02,0.05,23.25,0.00
Acknit Indus.,530043,,Textiles - Products,119.60,50.35,181.58,4.82,0.83,0.67,11.62,11.39,5.52,1.25,36.36,0.58,174.00,7.86
Acme Resources,539391,,Finance & Investments,13.80,73.43,5.90,4.76,0.04,0.32,-15.56,-11.96,,0.00,35.53,1.07,38.25,0.00
Acrow India,513149,,Engineering,133.00,54.59,0.00,212.13,0.00,0.40,-1.49,-0.65,30.39,0.00,8.51,5.76,581.70,0.00
Acrysil,524091,ACRYSIL,Ceramics - Tiles / Sanitaryware,763.10,44.04,361.29,2.58,0.53,10.64,22.49,22.40,42.46,0.26,2037.09,20.13,834.00,13.65
Action Const.Eq.,532762,ACE,Engineering,265.80,70.05,1447.68,1.23,0.10,5.76,20.85,16.53,30.60,0.19,3165.23,36.51,291.75,7.12
Active Clothing,541144,,Textiles - Products,24.00,73.58,73.14,4.34,1.06,0.61,5.49,0.10,620.50,0.00,37.23,4.08,66.40,0.00
AD Manum Finance,511359,,Finance & Investments,24.40,70.06,8.84,14.82,0.21,0.34,6.48,5.88,8.47,0.00,18.30,8.45,51.25,0.00
Adani Enterp.,512599,ADANIENT,Trading,1554.45,74.92,46850.71,1.33,0.93,9.96,8.69,6.31,131.24,0.06,170959.98,1810.82,1718.45,11.92
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1208.35,57.47,3323.57,2.03,28.12,219.50,10.96,25.86,591.64,0.00,188987.67,1019.00,1394.00,0.00
Adani Ports,532921,ADANIPORTS,Miscellaneous,736.90,63.79,14813.72,2.24,1.13,4.90,14.10,17.70,27.14,0.68,150456.69,4700.78,901.00,20.34
Adani Power,533096,ADANIPOWER,Power Generation And Supply,101.65,74.97,27586.51,2.89,,,14.23,,17.58,0.00,39205.78,1607.32,167.05,0.00
Adani Total Gas,542066,ATGL,Miscellaneous,1406.40,74.80,1992.78,0.36,0.27,79.22,31.23,28.10,269.07,0.02,154677.29,10.87,1680.00,5.83
Adani Transmissi,539254,ADANITRANS,Power Generation And Supply,1688.80,74.92,10309.47,1.34,4.43,30.50,11.96,21.65,145.57,0.00,185735.93,1289.91,1990.00,0.00
Adarsh Plant,526711,,Pumps,10.46,49.06,12.63,5.15,8.61,14.40,6.39,35.77,47.14,0.00,10.37,0.06,60.70,0.00
ADC India,523411,KRONECOMM,Telecommunications - Equipment,285.80,72.02,78.05,2.61,0.00,3.07,12.62,8.67,24.26,0.87,131.47,28.10,410.00,31.77
Adcon Capital,539506,,Finance & Investments,10.90,0.00,0.24,155.50,0.00,1.06,3.91,3.35,43.00,0.00,3.87,0.06,13.12,0.00
Add-Shop E-Reta.,541865,,Trading,153.05,62.99,99.39,1.82,0.38,8.54,46.61,46.66,16.74,0.00,173.40,0.52,162.95,0.00
Addi Industries,507852,,Textiles - Products,8.65,74.27,0.00,1.01,0.00,0.48,-1.78,5.82,9.16,0.00,9.34,8.86,50.90,0.00
Adeshwar Meditex,543309,,Healthcare,30.20,,65.97,3.04,1.09,2.12,11.22,9.01,24.48,0.00,43.58,1.07,33.20,0.00
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,882.60,31.42,381.64,4.93,0.00,6.91,27.87,21.60,33.62,0.34,1767.21,64.70,1094.70,12.22
Adinath Exim Res,532056,,Finance & Investments,37.80,62.04,0.94,42.00,0.00,1.07,4.50,3.31,36.29,0.00,16.33,0.01,52.50,0.00
Adinath Textiles,514113,,Textiles - Spinning - Synthetic / Blended,58.15,43.64,0.00,0.89,0.29,25.73,22.63,23.27,79.20,0.00,39.60,0.56,101.70,0.00
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,67.95,73.80,199.58,1.93,8.28,8.00,12.76,39.85,21.45,0.00,383.07,405.13,164.90,0.00
Aditya AMC,543374,ABSLAMC,Finance & Investments,682.30,86.50,1201.65,0.87,0.03,11.53,44.65,34.84,37.33,0.00,19650.24,56.84,722.90,27.44
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,271.95,56.13,5635.20,1.09,1.26,9.14,-4.32,-33.83,,0.00,25490.10,164.54,281.42,0.00
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,108.55,70.69,19506.73,0.09,3.86,1.91,8.07,8.56,21.32,0.00,26226.87,2807.41,264.00,0.00
Aditya Consumer,540146,,Trading,33.45,55.24,104.29,8.45,0.45,1.86,1.07,0.08,2447.50,0.00,48.95,8.32,237.00,0.00
Aditya Ispat,513513,,Steel - Medium / Small,14.61,24.32,52.52,5.62,2.71,0.78,5.99,4.06,17.38,0.00,7.82,0.07,21.05,0.00
Aditya Spinners,521141,ADITYASPIN,Textiles - Spinning - Synthetic / Blended,13.39,66.37,43.00,3.31,0.79,0.86,2.74,-1.61,17.38,0.00,22.42,0.15,17.78,0.00
Aditya Vision,540205,,Electronics - Consumer,861.65,73.68,790.04,1.84,1.48,18.23,38.35,51.33,27.12,0.58,1036.44,22.25,1564.10,24.39
Adjia Tech,543269,,Computers - Software - Medium / Small,28.60,65.20,0.22,24.20,0.02,,-14.52,-15.64,,,2.52,0.10,74.50,0.00
Ador Fontech,530431,,Electrodes - Welding Equipment,70.35,39.28,182.71,2.98,0.02,2.26,15.21,9.19,14.54,3.13,246.23,27.05,87.00,76.69
Ador Multi Prod.,523120,,Personal Care - Indian,115.25,38.84,17.05,1.91,0.19,4.00,-8.04,-13.34,,0.00,53.86,1.02,155.00,0.00
Ador Welding,517041,ADORWELD,Electrodes - Welding Equipment,690.60,56.90,520.65,1.93,0.12,3.95,6.25,6.40,49.64,0.00,939.22,18.16,880.20,0.00
Adroit Info.,532172,ADROITINFO,Computers - Software - Medium / Small,10.50,52.17,6.39,1.40,0.78,3.34,15.24,0.00,11.42,0.00,19.18,0.03,90.35,
Advait Infratech,543230,,Construction,85.70,73.52,65.71,1.90,0.25,1.45,13.34,17.98,9.80,1.17,43.71,14.17,95.00,10.69
Advance Lifes.,521048,,Textiles - Jute - Yarn / Products,31.80,75.00,0.00,1.48,1.51,0.33,-0.51,-1.29,,0.00,9.89,0.02,58.20,0.00
Advance Meter.,534612,AMTL,Electric Equipment,13.21,63.55,17.38,4.79,0.81,0.22,-0.28,-8.11,,0.00,21.22,56.29,42.00,0.00
Advance Syntex,539982,,Textiles - Spinning - Synthetic / Blended,12.67,59.76,41.73,5.13,1.99,0.78,2.44,-14.23,,0.00,14.06,2.04,45.40,0.00
Advanced Enzyme,540025,ADVENZYMES,Chemicals,402.35,52.30,528.36,6.76,0.02,4.63,22.81,16.10,29.98,0.22,4497.40,197.77,503.70,6.88
Advani Hotels.,523269,ADVANIHOTR,Hotels,81.40,50.17,29.29,1.17,0.02,8.70,-11.38,-9.01,,0.00,376.22,2.76,106.00,0.00
Advent Computer,531429,,Computers - Software - Medium / Small,1.97,54.15,0.00,1.28,0.19,0.22,-1.06,-1.32,,0.00,3.21,0.03,24.65,0.00
Advik Capital,539773,,Finance & Investments,3.69,59.07,6.34,5.62,0.24,1.43,2.35,0.68,120.93,0.00,16.93,0.09,5.00,0.00
Advik Labs.,531686,,Pharmaceuticals - Indian - Formulations,1.21,35.90,0.00,0.46,0.49,0.59,-55.81,-74.74,,0.00,2.31,0.01,18.35,0.00
Advitiya Trade,541152,,Trading,40.97,71.03,55.16,2.30,0.04,4.10,2.70,0.98,417.71,0.00,58.48,0.10,63.85,0.00
Aegis Logistics,500003,AEGISCHEM,Trading,233.80,57.74,3885.12,2.99,0.22,4.24,16.57,12.44,31.54,0.86,8206.38,335.63,394.40,31.43
Affle India,542752,AFFLE,Miscellaneous,1192.75,59.89,579.48,1.52,0.33,44.30,39.16,45.86,104.66,0.00,15893.52,63.25,1260.00,0.00
Affordable Robo.,541402,,Engineering,119.55,61.48,65.81,2.11,0.57,2.65,-0.93,-6.91,,0.00,121.70,2.36,157.05,0.00
Agarwal Indl.,531921,AGARIND,Petrochemicals,371.10,60.11,1164.39,5.02,0.76,2.36,19.62,22.76,8.97,0.49,462.61,35.36,792.00,4.56
AGC Networks,500463,AGCNET,Computers - Software - Medium / Small,1022.30,71.17,4875.38,0.99,1.69,17.26,55.74,1473.16,25.68,0.00,3353.98,410.29,1771.00,0.00
AGI Infra,539042,,Construction,179.30,72.94,130.83,1.26,0.57,2.41,19.30,21.29,10.71,0.28,219.05,16.94,214.95,3.61
Agio Paper,516020,,Paper,4.30,63.56,0.00,0.46,,,,,,0.00,6.94,0.04,42.95,0.00
Agri-Tech India,537292,AGRITECH,Miscellaneous,74.65,45.47,0.28,317.20,0.18,0.50,0.08,-0.64,,0.00,44.34,0.05,184.00,0.00
Agrimony Comm.,537492,,Trading,3.25,27.44,0.00,15.72,0.11,0.30,3.68,2.04,14.80,0.00,3.70,1.69,15.75,0.00
Agro Phos India,,AGROPHOS,Fertilizers,18.60,54.27,49.95,3.78,0.33,0.91,9.86,7.94,9.38,0.00,37.71,1.01,155.40,0.00
Agro Tech Foods.,500215,ATFL,Solvent Extraction,1018.35,51.77,895.44,2.54,0.03,5.69,10.08,7.35,94.36,0.29,2481.72,12.07,1149.75,23.38
Ahlada Engineers,,AHLADA,Steel - Medium / Small,172.30,50.36,189.97,2.62,0.50,1.87,11.29,8.91,19.86,0.81,222.63,5.50,248.00,17.76
Ahluwalia Contr.,532811,AHLUCONT,Construction,360.55,58.00,2312.44,1.63,0.08,2.75,15.88,9.19,23.11,0.00,2415.24,417.63,445.00,0.00
Ahm. Steelcraft,522273,,Steel - Medium / Small,17.70,65.90,-0.05,15.03,0.00,0.28,-1.27,-0.91,,0.00,7.24,1.97,45.50,0.00
AI Champ.Inds.,532806,AICHAMP,Textiles - Jute - Yarn / Products,16.25,58.90,66.36,3.89,0.66,0.57,-8.07,-18.76,,0.00,49.97,0.49,229.01,0.00
AIA Engineering,532683,AIAENG,Castings & Forgings,1852.85,58.47,3041.09,11.30,0.05,4.12,17.02,14.25,29.96,0.49,17476.15,1395.45,2234.00,14.99
Aimco Pesticides,524288,AIMCOPEST,Pesticides / Agrochemicals - Indian,103.20,51.35,186.39,1.32,0.25,2.42,15.26,5.29,42.81,0.97,98.89,4.20,271.00,45.71
Airan,,AIRAN,Computers - Software - Medium / Small,21.40,74.95,69.53,4.77,0.07,3.11,7.81,6.13,39.00,0.00,267.54,0.80,189.51,0.00
Airo Lam,,AIROLAM,Miscellaneous,83.40,52.23,132.78,2.31,0.77,2.52,12.09,11.63,22.91,0.00,125.10,4.78,86.00,0.00
Aishwarya Tech.,532975,,Telecommunications - Equipment,3.10,29.73,11.52,0.60,6.12,12.55,-50.88,-169.35,,0.00,7.41,0.57,67.75,0.00
Ajanta Pharma,532331,AJANTPHARM,Pharmaceuticals - Indian - Formulations,2270.35,70.35,2969.48,2.91,0.01,6.56,31.95,23.43,28.90,0.42,19646.65,209.61,2435.00,12.63
Ajanta Soya,519216,,Miscellaneous,131.35,46.85,1077.68,1.45,0.04,2.66,60.23,37.15,6.38,0.00,211.43,21.37,151.60,0.00
Ajcon Global,511692,,Finance & Investments,37.00,67.48,48.37,4.05,0.66,1.20,4.58,3.59,15.51,0.00,22.64,2.29,49.35,0.00
Ajel,530713,,Computers - Software - Converts,8.35,49.44,3.57,5.76,0.38,0.73,-1.63,-2.32,,0.00,9.73,0.18,67.00,0.00
Ajmera Realty,513349,AJMERA,Construction,359.20,69.74,441.77,7.92,1.17,1.92,6.48,4.63,33.24,0.39,1274.44,42.68,1547.60,16.47
Ajooni Biotech,,AJOONI,Miscellaneous,63.05,51.64,50.82,2.04,0.48,3.95,4.98,2.34,170.51,0.00,63.09,0.24,75.70,0.00
AJR Infra &,532959,AJRINFRA,Engineering - Turnkey Services,1.50,20.60,260.14,0.07,2.35,0.75,1.32,-76.55,,0.00,141.27,43.54,35.95,0.00
Ajwa Fun World,526628,,Recreation / Amusement Parks,10.97,49.54,0.30,1.66,,,-14.32,,,0.00,7.01,0.83,29.60,0.00
Akar Auto Indust,530621,,Castings & Forgings,31.20,73.06,226.29,2.46,3.08,1.31,5.98,-10.49,33.33,0.00,33.66,2.09,86.50,0.00
Akash InfraProj.,,AKASH,Construction,214.60,74.59,68.12,2.90,0.30,4.53,4.77,1.45,238.07,0.00,361.87,11.77,281.00,14.78
Akashdeep Metal,538778,,Finance & Investments,49.80,58.63,4.58,0.54,0.49,1.53,6.52,2.80,61.36,0.00,42.34,0.22,70.25,0.00
AKG Exim,,AKG,Trading,40.50,67.76,87.46,3.56,0.46,2.05,7.82,5.27,23.70,0.00,42.90,0.02,112.70,0.00
AKI India,542020,,Leather / Leather Products,16.15,72.81,44.79,2.34,2.17,1.30,6.08,3.92,33.26,0.00,16.63,1.16,21.90,0.00
AKM Lace,540718,,Trading,24.00,38.85,2.46,2.71,0.00,0.95,-0.13,-0.39,,0.00,7.23,0.10,27.50,0.00
Aksh Optifibre,532351,AKSHOPTFBR,Cables - Telephone,8.85,27.94,298.05,0.47,1.27,1.40,1.66,-21.27,,0.00,143.99,21.34,96.95,0.00
Akshar Spintex,541303,,Textiles - Cotton/Blended,25.15,46.06,109.54,2.77,0.69,1.73,3.77,3.48,50.70,0.00,62.87,0.09,40.25,0.00
AksharChem (I),524598,AKSHARCHEM,Dyes And Pigments,507.40,62.70,288.13,2.51,0.05,1.49,6.23,4.55,27.62,0.69,416.20,3.10,945.00,22.96
Akzo Nobel,500710,AKZOINDIA,Paints / Varnishes,2233.70,74.76,2789.23,1.62,0.05,7.90,21.93,16.58,33.48,2.24,10172.34,733.20,2530.00,109.59
Alan Scott Inds.,539115,,Textiles - Products,51.50,46.45,0.39,129.00,0.03,6.10,-9.63,0.00,39.17,0.00,9.40,1.27,51.50,
Alankit,531082,ALANKIT,Computers - Software - Medium / Small,17.50,71.33,119.45,2.90,0.15,2.65,17.38,12.17,21.04,1.14,250.18,7.43,88.75,25.84
Albert David,524075,ALBERTDAVD,Pharmaceuticals - Indian - Formulations,623.05,61.25,274.82,1.38,0.01,1.46,11.57,9.16,10.57,0.96,355.76,35.37,860.00,15.49
Alchemist Corp.,531409,,Trading,12.00,74.11,0.41,0.74,0.02,0.34,0.65,0.71,84.14,0.00,5.89,0.02,120.00,0.00
Alchemist Realty,532114,,Construction,3.35,45.45,0.00,13.42,,,-0.41,,,0.00,24.82,0.02,129.38,0.00
Alembic,506235,ALEMBICLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,114.85,70.88,80.95,1.45,0.00,1.28,0.69,18.25,9.72,0.17,2949.14,6.57,143.30,1.50
Alembic Pharma,533573,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,822.45,69.48,5377.85,2.44,0.10,3.15,26.01,28.23,15.53,1.70,16166.33,105.84,1150.00,23.36
Alexander Stamps,511463,,Trading,18.80,11.22,1.04,19.40,0.02,1.06,0.38,0.26,175.10,0.00,17.51,0.31,90.93,0.00
Alfa Ica (I),530973,,Miscellaneous,35.50,71.12,61.91,3.43,0.76,0.84,10.86,8.30,9.76,0.00,14.34,0.26,85.00,0.00
Alfa Transformer,517546,,Electric Equipment,9.30,46.96,19.38,1.48,0.25,0.49,-23.35,-51.34,,0.00,8.51,3.06,171.60,0.00
Alfavision Overs,531156,,Miscellaneous,57.55,24.80,154.32,2.10,5.57,1.85,7.91,15.65,12.68,0.35,18.13,0.21,134.00,0.00
Alfred Herbert,505216,ALFREDHERB,Finance & Investments,669.00,73.86,6.95,1.26,0.00,0.54,0.14,-0.25,,0.41,51.51,1.38,1598.00,-95.45
Alicon Cast.,531147,ALICON,Auto Ancillaries,767.95,55.71,1006.34,2.39,1.10,3.91,5.57,-0.61,32.68,0.00,1237.31,19.73,949.00,0.00
Alka India,530889,,Textiles - Cotton/Blended,0.78,16.27,0.00,15.83,0.00,2.24,-1.82,-1.88,,0.00,39.00,0.00,3.56,0.00
Alka Securities,532166,,Finance & Investments,0.37,46.91,0.46,,,,,,16.90,0.00,3.55,,23.60,0.00
Alkali Metals,533029,ALKALI,Chemicals,92.65,69.64,56.12,2.27,0.44,1.91,4.10,-4.07,,0.86,94.32,0.95,399.40,-66.94
Alkem Lab,539523,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,3939.95,58.84,9604.37,3.50,0.23,6.39,22.09,22.98,28.88,0.76,47108.01,1990.45,4070.00,22.63
Alkyl Amines,506767,ALKYLAMINE,Chemicals,3970.50,74.09,1389.10,1.94,0.06,25.59,55.80,44.58,63.15,0.25,20277.07,126.04,4749.00,17.29
Allcargo Logist.,532749,ALLCARGO,Miscellaneous,271.60,70.01,11869.80,0.96,0.75,2.92,10.32,7.81,27.55,0.74,6673.09,381.22,318.00,28.42
Alliance Integ.,534064,,Steel - Medium / Small,20.35,71.35,73.13,0.21,,,-12.49,,,0.00,23.63,4.42,223.10,0.00
Allied Digital,532875,ADSL,Computers - Software - Medium / Small,82.35,49.95,373.35,4.53,0.12,0.89,5.26,4.16,21.41,0.91,417.56,58.17,564.51,19.75
Allsec Tech.,532633,ALLSEC,Computers - Software - Medium / Small,484.95,73.39,284.26,8.04,0.08,2.79,17.05,14.10,34.99,3.09,739.06,150.01,559.05,65.09
Almondz Global,531400,ALMONDZ,Finance & Investments,116.65,58.29,64.92,2.75,0.11,1.84,13.21,12.01,14.41,0.00,301.93,29.01,139.95,0.00
Alok Industries,521070,ALOKINDS,Textiles - Processing,26.40,75.00,4753.14,1.24,,,-0.63,,,0.00,13108.23,271.13,97.58,0.00
Alpa Laboratorie,532878,ALPA,Pharmaceuticals - Indian - Formulations,54.80,56.66,112.78,3.73,0.00,1.07,10.43,6.97,10.98,0.00,115.30,10.51,93.00,0.00
Alphageo (India),526397,ALPHAGEO,Oil Drilling / Allied Services,441.85,46.21,223.52,4.59,0.00,1.07,3.94,2.44,7.94,1.81,281.23,64.92,1147.00,79.19
Alphalogic Tech.,542770,,Computers - Software - Medium / Small,30.00,74.75,5.48,4.13,0.21,5.66,,,89.32,,61.63,0.03,41.50,0.00
